text|label|family
Even with topmost priority, the first of Kaul's messages from the Namka Chu took three days to reach New Delhi. In his signal of October 7th, Kaul described the difficulties confronting him: the strength of the Chinese, who, he now said, were building up to a regiment below Thag La; the nearly desperate supply position, which left the Indian troops still with little mo re than the ammunition they had carried in their pouches (fifty rounds per man), and necessitated their being put on hard rations from that day; the lack of winter clothing, with two of the three battalions in summer uniforms, with one blanket per man-and bivouacking that night at 15,000 feet (Kaul did not explain that this was the result of his own orders).|1|Revisionism
But, even so, China and, for her own reasons, Pakistan were punctilious when they announced simultaneously in May 1962 that to ensure tranquillity on the border and develop goodneighbourly relations they proposed to de limit their boundary.|1|Revisionism
Curzon could not afford to see Russian influence installed in Tibet; it would be too dangerous for Indian security.|0|Traditional
His information on routes in Ladakh and western Tibet was derived mainly from one Puttee Ram, a native of Bashahar state on the Sutlej.|1|Revisionism
a better position to estimate the temper of the tribes and to understand the precautions which would be advisable to take in the establishment of a new Within the district, the Angamis were reported to be 'well behaved at least no longer dangerous'.|0|PostRevisionism
He remarked that he was generally in agreement with the approach suggested by Kaul.|0|PostRevisionism
India blamed Pakistan for carrying out the attacks, an allegation which Pakistan strongly denied and one that brought both nations to the brink of a nuclear confrontation in 200102. |0|PostRevisionism
Nehru's condemnation of the international interstate rivalry, side by side with his use of existing tensions between the USSR and the United States and Taiwan and China to further Indian political and territorial interests, was seen as hypocrisy. |1|Revisionism
The result was that many of the party's centrists as well as some of its proMoscow wing were gaoled.|1|Revisionism
That is one instance which happened about two weeks ago The present incident I am talking about is a very recent one and, in fact, is a continuing one.|0|Traditional
The April 1954 Agreement constituted an important landmark in the history of SinoIndian relations, for inter alia it enshrined the five principles of 'Panch Shila'.|0|Traditional
The distinction is at once superficial and misleading.|0|PostRevisionism
But from this time, from being one of the chief military powers of Asia Tibet gradually deteriorated into a nation largely robbed of vitality through the ramifications of the subsequent parasitical priesthood which developed and fastened on the vitals of the country. |0|Europe&America
If this should be inconvenient to the Indian Prime Minister, Premier Chou Enlai would be ready to go to Delhi.53|1|Europe&America
The long advance of each side in search of its own 'final frontier' was implied to belong to the discredited past. |0|Europe&America
Tunghai Lin, 'Three Months in Lhasa', China Critic, 8, 8, 21 February 1935, pp.|0|Traditional
The Indian Government just acknowledged that British India, Tibet and China participated in the Simla Conference on equal footing. |0|Traditional
Thus, assessments of the unpreparedness of the Indian army to challenge the People's Liberation Army (PLA) were not likely to be adopted, and became even less so with the growing number of occasions on which both men unequivocally declared that the oppos ite was true.|1|Revisionism
It was rather late when we arrived and I was very wet, so I told him that I would prefer not to see the authorities at the Gompa [monastery] until the morning.|0|Traditional
The decision to hit the Chinese below Thag La ridge was taken even before the news of their having crossed it was published.|1|Revisionism
Later, to repeated Chinese protests, the British reply was that all measures which had been taken on the British side of the frontier were of a purely administrative character, The eastern frontier with Tibet spans the whole area from Bhutan up to and including the Mishmi country.|0|Traditional
But if Nehru was suspected of hankering for settlement at any price, Krishna Menon had already been tried and convicted, so to speak, on that charge.|1|Revisionism
A stone shelter (langar) built by W. H. Johnson on his traverse of Aksai Chin and named by him after the then ruler of Khotan, Haji Habibullah Khan.|1|Revisionism
Accordingly both countries are obliged to comply with the provisions of the UNCLOS. |0|PostRevisionism
Their resentment of the great powers' reluctance to allow Asian problems to be settled by Asians, their resistance to Western attempts to build up spheres of influence in Asia, stem from their common background.' |0|Europe&America
Up to the inner line we administer in the ordinary way.|1|PostRevisionism
Indeed, they had on a number of occasions while the Younghusband Mission was in progress denied that any alteration in the status of Tibet was being contemplated.|1|Revisionism
The End of the Incursions The epilogue of the 1946 incursions was the letter quoted earlier , from Hopkinson to Major G.C.L. Crichton, the Joint Secreta ry to the Government of India in the External Affairs Department in Delhi in April 1946. |0|Traditional
So, when the Chinese reasserted the central Government's authority in Sinkiang and turned in 1950 to Tibet, it was natural for their forces to take the Aksai Chin route into western Tibet-indeed this was the sole practicable way, because to the north lay the great Sinkiang gobi (desert).|1|Revisionism
This also helped to explain 'the great dearth of news ' from 'Ulterior ' Tibet. |0|Traditional
By this time, September 1959, the Indian Government was publishing its communications to Peking almost as soon as they were delivered, and in this process of open diplomacy, publicly pursued, diplomatic notes inevitably became propaganda devices.|1|Revisionism
If they had the faintest idea that this telegram would be made the basis of a subsequent claim to large areas of Indian territory, they would of course have immediately and unequivocally, rejected the claim.'|0|PostRevisionism
Or, conversely, the sender can present himself as one who should not be considered seriously, lacking the opp or tunity to take the intiative such as he is. |1|Revisionism
Sound policies are as important if military conﬂ ict is to be averted. |1|PostRevisionism
A nuanced understanding of the Indian security dilemma tells us that it is a quagmire of three interrelated arms races-China–US, China–India and India–Pakistan arms races. |1|PostRevisionism
The CPC presumably hoped that the Burmese Communists could come to power with Chinese support, but without direct Chinese intervention, by taking advantage of the tensions between the Burmandominated Burmese government and the minorities.|1|Europe&America
 181 THE SOVIET AND THE INDIAN QUESTIONS |0|Europe&America
The Chinese completely ignored the Indian condition that the restoration of the status quo in Ladakh was to be treated as an 'essential preliminary measure', and India had to make this clear in her reply of 19 September. |0|Traditional
The same uncompromising attitude was carried into the economic and political fields.|0|Europe&America
Second, provided that New Delhi accepts the first point, China is willing ... to withdraw its frontier guards in the eastern sector of the border to the north of the line of actual control; at the same time both China and India undertake not to cross the line of actual control, i.e. the traditional customary line, in the middle and western sectors of the border.|1|Europe&America
In 1959, a boundary problem assumed the character of a boundary dispute, proper, involving large territorial claims. |1|PostRevisionism
In the Indian phrasing, this was called ' creating a favourable climate for negotiations regarding the boundary' by ' a restoration of the status quo through the withdrawal of Chinese forces from Indian territory' .|1|Revisionism
Central Tibet, in fact, was a long way away from the nearest large centres of Chinese population.|1|Revisionism
It is an opportunity to test whether we can fight back in case American imperialism and its vassal forces come on us.|1|Europe&America
By bombing enemy positions in the vicinity of our besieged troops we would have regained local initiative and released our men from the pressure of the aggressor.|0|Traditional
Only the Chinese dead had been removed, and the evidence of battle showed that of those there had been many. |1|Revisionism
To make a deeper impression on the Indian mind, in 1951 when India was suffering from acute food shortage, Peking dramatically offered to send one million tons of grain.|0|Traditional
India did not seem to mind her own exclusion from the Geneva Conference despite Chou Enlai's insistence.|0|Traditional
In particular , I see no reason whatever why there should be any serious dispute between us over Tibet.|0|Traditional
either forswear Article IX or explain it away to the satisfaction of these hungry wolves at China's doorstep.18 Tang was actually appointed to 'proceed to Tibet to investigate and conduct affairs' Tibet Papers, supra, n. 5, No. 167, p. 67. |0|Traditional
Here the factors are: (a) The existence of an external boundary with a foreign State.|1|PostRevisionism
But it was at Bandung that the seal was set on the friendship; that both Delhi and Peking convinced Asia and Africa, if not the world, that they had found a flawless political formula in the 'Five Principles of Peaceful Coexistence' that was about to usher in an AfroAsian Utopia which would be the envy and admiration of all countries of the world. |0|Europe&America
Peking claimed that Kirghiz and Uighur inhabitants of Sinkiang regularly visited the area and that there still remain many stone houses, stone sheep enclosures and other constructions built by them.|0|Europe&America
They also proposed that the Political Conference be held in New Delhi on 28th December 1953. |0|Europe&America
The salient phrase will not stand idly by had not appeared previously in 1962.|1|Europe&America
It is also more wholesome but when it becomes a status symbol taste and nutritional value take the second place. |0|Traditional
It is a question of words, perhaps; it is a dispute, of course, when we argue about something it is a dispute.|1|Revisionism
The expeditionary force was further handicapped by transport and very little was done 'to pierce the hills' by the flying columns.|0|PostRevisionism
This technology made possible the development of a heat resistant material that, if applied to the tips of long range ballistic missiles, allows them to carry nuclear warheads to much greater distances.|0|PostRevisionism
Calling for increased support for India's five year plans in 1959 the then Senator J. F. Kennedy said: ' We want india to win that race with China ... |1|Revisionism
submit them for your favourable consideration... .|0|Traditional
Nehru thought only that this Chinese arrogance called for a military reply-namely, the ousting of Chinese forces from Indian territory in the eastern sector; he therefore ordered the planning of Operation Leghorn. 7.|1|Revisionism
Let us review the status of Tibet at the time of the Simla Conference.8 Tibet had enjoyed, for many decades, the freedom to make agreements with other peoples.24 Intermittently for centuries Tibet had been overrun and had then witnessed the withdrawal of Chinese forces.|0|Traditional
Bangladesh inherited disputed border relations with India as a legacy of the partition of the subcontinent in 1947.|0|PostRevisionism
They also signed a joint declaration stating that the convention was binding on both parties, irrespective of Chinese agreement. |0|PostRevisionism
Discarded in Latin America nearly two centuries ago, it has been given a quietus by the International Court of Justice and by authorities on international law.|1|PostRevisionism
The following year, the Republic of China refused to accept the annual installment of rent on the Namwan Assigned Tract from the newly independent Burmese government. |1|Europe&America
By the end of the year we had established over fifty posts in Ladakh and NEFA and hence our occupation rights in some square miles of Indian territory.|1|Europe&America
Moreover to discover patterns of rationality and behavior in the PRC common to other regimes advances understanding beyond assumptions of totally idiosyncratic behavior that cannot be submitted to analytical comparison or predictability. |1|Europe&America
On no account should the United States assume that the Soviet Union, because it is at present the less militant of the two Communist rivals and is a white power, is therefore a lesser threat and should somehow be favored over the CPR.|1|Europe&America
It contained a picturesque description of the Aksai Chin. |1|PostRevisionism
Khrushchev's attack on Stalin at that time also tended to undermine the personal position of Kim Ilsong, who had originally been Stalin's creature.|1|Europe&America
It seemed to them that the subversive activities in Tibet were taking place with the full knowledge of the Indian government28 and, moreover, because of imperialist intentions toward it. A second dimension injected into the dispute by China, probably without Nehru's awareness, was an ideological one: If one agrees with Nehru's logic, not only the revolution in Tibet, but the whole Chinese revolution would be impermissible (PR., May 12, 1959, 9).|1|Revisionism
